Date,Open,High,Low,Close,Adj Close,Volume
6/24/19,39.560001,40.07,39.439999,39.98,38.758575,6571000
6/25/19,39.52,39.52,38.91,38.919998,37.730961,6790500
6/26/19,39.380001,39.380001,38.98,39.080002,37.886074,9133300
6/27/19,39.580002,39.759998,39.290001,39.59,38.380489,11375200
6/28/19,39.73,39.73,39.119999,39.169998,37.973324,7040000
7/1/19,41.540001,41.900002,41.150002,41.380001,40.11581,11085400
7/2/19,41.189999,41.310001,40.740002,40.799999,39.553524,4445600
7/3/19,40.349998,40.369999,40.009998,40.330002,39.097885,3125000
7/5/19,39.869999,40.099998,39.639999,39.93,38.71011,3149300
7/8/19,39.57,39.689999,39.240002,39.32,38.11874,6772300
7/9/19,39.650002,40.009998,39.419998,39.669998,38.458042,6577000
7/10/19,40.830002,41.139999,40.549999,40.709999,39.466274,7945000
7/11/19,41.139999,41.189999,40.830002,40.900002,39.650475,6126600
7/12/19,41.110001,41.27,40.82,41.23,39.970383,4695800
7/15/19,41.75,41.93,41.66,41.82,40.542362,5784300
7/16/19,41.799999,41.950001,41.57,41.77,40.493889,6529500
7/17/19,41.68,41.91,41.52,41.630001,40.35817,5514600
7/18/19,42.52,43.23,42.310001,43.189999,41.870506,11262000
7/19/19,43.080002,44.02,43.07,43.830002,42.490955,11438800
7/22/19,44.200001,44.880001,44.130001,44.599998,43.237431,10035800
7/23/19,44.540001,44.580002,44.240002,44.419998,43.062927,6565800
7/24/19,44.5,44.630001,44.240002,44.540001,43.179268,7130400
7/25/19,44.209999,44.240002,43.619999,43.619999,42.287373,6593900
7/26/19,43.73,43.889999,43.380001,43.459999,42.132259,4399000
7/29/19,43.52,43.950001,43.400002,43.939999,42.597591,4138600
7/30/19,43.400002,43.400002,42.77,43.110001,41.79295,4938500
7/31/19,43.029999,43.169998,42.049999,42.630001,41.327618,7592300
8/1/19,42.75,43.389999,41.599998,41.869999,40.590832,9662800
8/2/19,41.150002,41.779999,41.009998,41.650002,40.37756,9317000
8/5/19,40.41,40.52,39.779999,39.869999,38.651939,6668400
8/6/19,41.18,41.509998,40.889999,41.259998,39.99947,8667700
8/7/19,41.049999,41.450001,40.799999,41.259998,39.99947,5484700
8/8/19,41.849998,42.18,41.75,41.900002,40.619923,7795900
8/9/19,41.59,41.709999,41,41.41,40.14489,3480500
8/12/19,41.049999,41.27,40.849998,40.959999,39.708633,3463500
8/13/19,40.630001,41.990002,40.549999,41.84,40.561749,7697800
8/14/19,40.849998,41.09,40.25,40.43,39.194828,9621800
8/15/19,40.380001,40.990002,40.34,40.860001,39.611691,7690100
8/16/19,41.18,41.73,41.150002,41.540001,40.270924,4845700
8/19/19,42.16,42.209999,41.650002,41.779999,40.503582,3797600
8/20/19,42,42.220001,41.720001,41.939999,40.658695,7540300
8/21/19,42.41,42.639999,42.290001,42.580002,41.279144,3914600
8/22/19,42.389999,42.490002,41.73,42.130001,40.842896,3145600
8/23/19,41.939999,42.150002,40.860001,40.950001,39.698944,7526900
8/26/19,41.369999,41.549999,41.130001,41.34,40.077026,5519000
8/27/19,41.549999,41.68,41.27,41.349998,40.086723,4192800
8/28/19,41.32,41.77,41.049999,41.650002,40.37756,3586000
8/29/19,42.34,42.57,42.23,42.279999,40.988312,5171600
8/30/19,42.709999,42.889999,42.360001,42.630001,41.327618,5382200
9/3/19,42.150002,42.16,41.580002,41.720001,40.445419,4748000
9/4/19,42.610001,43.150002,42.389999,43.150002,41.83173,4460900
9/5/19,43.759998,44.509998,43.759998,44.240002,42.888432,7698300
9/6/19,44,44.040001,43.689999,43.709999,42.374622,4325300
9/9/19,43.91,44.080002,43.540001,43.849998,42.510342,4677000
9/10/19,43.599998,44.099998,43.360001,44.099998,42.752701,5001600
9/11/19,43.91,44.27,43.84,44.220001,42.869041,4016800
9/12/19,44.290001,44.459999,43.93,44.07,42.723625,6577900
9/13/19,44.43,44.830002,44.189999,44.740002,43.373154,6231100
9/16/19,44.529999,44.740002,44.490002,44.599998,43.237431,3716300
9/17/19,44.279999,45.150002,44.209999,45.130001,43.751244,6110900
9/18/19,45.169998,45.200001,44.610001,45.040001,43.66399,4044800
9/19/19,44.799999,45.220001,44.759998,44.900002,43.841702,6422700
9/20/19,44.77,44.900002,43.869999,43.869999,42.835976,7249200
9/23/19,44.18,44.290001,43.849998,44.07,43.031265,4347000
9/24/19,44.400002,44.549999,44.060001,44.119999,43.080086,7592200
9/25/19,44.200001,45.099998,44,45.009998,43.949104,6719500
9/26/19,45.099998,46.509998,45.099998,46.459999,45.364929,15832500
9/27/19,46,46.48,45.189999,45.509998,44.437325,9610400
9/30/19,46.57,46.740002,46.119999,46.48,45.38446,8396900
10/1/19,46.959999,47.849998,46.959999,47.189999,46.077724,11575200
10/2/19,46.709999,46.939999,46.330002,46.43,45.335636,5785200
10/3/19,46.450001,47.139999,46.240002,47.130001,46.019142,6091600
10/4/19,47.029999,47.450001,46.779999,47.419998,46.302299,5704200
10/7/19,47.73,48.150002,47.43,47.950001,46.819809,11059000
10/8/19,48.259998,48.400002,47.599998,47.860001,46.731934,13089700
10/9/19,48.200001,49.060001,48.169998,48.68,47.532604,11033100
10/10/19,48.91,49.389999,48.490002,48.93,47.776711,9566500
10/11/19,49.450001,49.790001,49.330002,49.419998,48.255157,7499100
10/14/19,49.419998,50.130001,49.299999,49.91,48.733616,7974000
10/15/19,50.200001,50.639999,50.110001,50.389999,49.202301,9323200
10/16/19,50.34,51.130001,50.07,50.130001,48.948429,13615700
10/17/19,51.139999,51.209999,49.259998,49.75,48.577385,12410200
10/18/19,49.650002,50.09,49.130001,49.279999,48.118462,9169200
10/21/19,49.529999,50.110001,49.330002,50,48.821491,6538900
10/22/19,50.299999,50.830002,50.18,50.639999,49.446407,10697300
10/23/19,50.099998,50.400002,49.919998,50.169998,48.987484,7118800
10/24/19,50.490002,51.049999,50.23,50.950001,49.749104,7006600
10/25/19,50.799999,51.23,50.689999,51.130001,49.924858,6303500
10/28/19,51.400002,51.48,51.049999,51.310001,50.100616,7725400
10/29/19,51.5,51.84,51.439999,51.470001,50.256844,5303900
10/30/19,51.790001,52.060001,51.57,51.91,50.686474,5198100
10/31/19,51.889999,51.93,51.349998,51.630001,50.413074,5140800
11/1/19,51.889999,52.099998,51.700001,52.099998,50.87199,5226600
11/4/19,53.549999,53.790001,53.119999,53.490002,52.229233,7233400
11/5/19,53.630001,53.970001,53.490002,53.549999,52.287815,5287100
11/6/19,53.700001,53.75,53.099998,53.639999,52.375694,4545100
11/7/19,53.900002,54.369999,53.52,53.669998,52.404991,7890900
11/8/19,53.529999,53.529999,52.529999,52.830002,51.584789,6558400
11/11/19,52.389999,52.75,52.16,52.599998,51.36021,4046500
11/12/19,52.689999,52.689999,52.029999,52.150002,50.920818,8625100
11/13/19,52.580002,52.939999,52.150002,52.880001,51.633614,5336200
11/14/19,52.5,52.73,52.130001,52.48,51.243034,5308600
11/15/19,53.009998,53.389999,52.880001,53.290001,52.033947,5986400
11/18/19,53.389999,53.959999,53.389999,53.419998,52.160881,4774400
11/19/19,54.049999,54.139999,53.68,53.759998,52.492867,4731100
11/20/19,53.549999,53.779999,53.209999,53.5,52.238995,5264800
11/21/19,53.5,53.509998,52.939999,52.98,51.731251,6036700
11/22/19,52.919998,53.16,52.740002,52.790001,51.545731,4172300
11/25/19,53.09,53.939999,52.799999,53.759998,52.492867,5021500
11/26/19,53.5,53.790001,53.380001,53.630001,52.365936,5672800
11/27/19,54.029999,54.060001,53.540001,53.889999,52.619804,2786100
11/29/19,53.060001,53.16,52.799999,53.09,51.838661,3391700
12/2/19,53.549999,53.59,52.779999,52.98,51.731251,4475800
12/3/19,52.419998,52.93,52.18,52.779999,51.535969,5468100
12/4/19,53.27,53.57,53.110001,53.18,51.92654,3905200
12/5/19,53.619999,54.540001,53.490002,54.400002,53.117783,7624300
12/6/19,54.5,55.029999,54.5,54.939999,53.64505,5429100
12/9/19,55.049999,55.189999,54.32,54.459999,53.176365,6541900
12/10/19,54.68,55.060001,54.330002,54.52,53.234955,4364800
12/11/19,55.040001,56.200001,55.029999,55.900002,54.582432,11028000
12/12/19,57.25,58.619999,57.02,58.610001,57.228554,15788700
12/13/19,59.049999,59.52,58.25,58.25,56.877037,9886900
12/16/19,58.290001,58.700001,58.290001,58.540001,57.160206,5779400
12/17/19,59.709999,59.709999,58.779999,59.23,57.833939,8407500
12/18/19,59.599998,59.639999,58.720001,59.099998,57.707001,10021200
12/19/19,58.5,58.5,57.880001,57.959999,56.989227,7228700
12/20/19,57.779999,58.299999,57.32,57.93,56.959736,8043800
12/23/19,58.029999,58.34,57.950001,58.220001,57.244873,4022000
12/24/19,57.990002,58.09,57.549999,57.759998,56.792576,2692200
