Date,Open,High,Low,Close,Adj Close,Volume
9/18/19,118.32,120.080002,117.75,119.760002,116.836304,10665600
9/19/19,119.699997,120.339996,119.089996,119.379997,116.465576,9382600
9/20/19,119.739998,120.339996,118.870003,118.900002,115.997299,21862800
9/23/19,117.779999,119.120003,117.68,118.879997,115.977783,9135100
9/24/19,118.75,119.260002,117.040001,117.330002,114.46563,11696500
9/25/19,117.269997,118.360001,117.120003,118,115.11927,9389400
9/26/19,117.879997,118.050003,116.949997,117.029999,114.172951,9899200
9/27/19,117.959999,118.639999,117.279999,117.720001,114.846107,10207800
9/30/19,118.360001,118.769997,117.220001,117.690002,114.816841,9755000
10/1/19,118.400002,119,115.410004,115.550003,112.72908,11250300
10/2/19,114.809998,114.900002,112.93,113.25,110.485229,12548700
10/3/19,112.269997,112.910004,110.519997,112.190002,110.327896,12735200
10/4/19,112.339996,114.940002,112.269997,114.620003,112.71756,9453100
10/7/19,114.190002,115.5,114.07,114.370003,112.47171,6771600
10/8/19,113.059998,113.059998,111.660004,111.82,109.964027,10806300
10/9/19,112.669998,113.160004,112.07,112.629997,110.760582,7273700
10/10/19,113.139999,115.400002,113,114.209999,112.314362,10994100
10/11/19,116.029999,117.989998,115.870003,116.139999,114.212326,15076500
10/14/19,115.849998,116.870003,115.660004,116.449997,114.517181,8779000
10/15/19,118.849998,121.589996,117.870003,119.959999,117.968925,23379000
10/16/19,119.959999,120.620003,119.379997,119.68,117.693573,11087700
10/17/19,120.75,121.57,119.879997,120.349998,118.352448,10818500
10/18/19,120,121.019997,119.860001,120.559998,118.558968,10417400
10/21/19,122.050003,123.769997,121.989998,123.550003,121.499344,12714600
10/22/19,123.449997,125.099998,123.120003,124.790001,122.718758,12549100
10/23/19,124.199997,125.150002,124.169998,125.120003,123.043282,8828300
10/24/19,125.290001,125.660004,124.07,125.029999,122.954773,8020500
10/25/19,125,126.650002,124.75,126.029999,123.938171,9055700
10/28/19,126.57,127.209999,126.400002,126.510002,124.41021,9522200
10/29/19,126.059998,127.419998,125.940002,126.43,124.331543,9797300
10/30/19,126.050003,126.260002,124.919998,125.730003,123.643158,8513300
10/31/19,125.489998,125.730003,123.860001,124.919998,122.846596,11589000
11/1/19,126.199997,127.989998,126.019997,127.800003,125.678802,11682600
11/4/19,129.080002,129.419998,128.559998,128.820007,126.68187,9159900
11/5/19,129.389999,130.300003,128.839996,129.100006,126.957222,13747600
11/6/19,128.690002,129.839996,128.580002,129.300003,127.153908,11231100
11/7/19,130.429993,131.289993,129.919998,130,127.842285,13528900
11/8/19,129.880005,130.399994,129.25,130.380005,128.215973,9293400
11/11/19,129.600006,130.100006,129.350006,129.919998,127.763603,8679000
11/12/19,129.630005,130.619995,129.009995,129.160004,127.016228,9099000
11/13/19,128.130005,128.820007,127.419998,128.479996,126.347511,8023300
11/14/19,127.720001,128.839996,127.589996,128.600006,126.465523,8483400
11/15/19,129.229996,129.529999,128.399994,129.529999,127.380074,10163600
11/18/19,129.559998,130.649994,128.990005,130.619995,128.451996,8749300
11/19/19,130.990005,131.25,130.179993,130.580002,128.412643,8824500
11/20/19,130.300003,130.619995,128.940002,129.630005,127.478432,11782800
11/21/19,130,130.720001,129.389999,129.929993,127.773438,7705100
11/22/19,130.149994,131.220001,130.100006,130.789993,128.619171,8167900
11/25/19,131.25,132.070007,130.869995,131.490005,129.307556,10068500
11/26/19,131.820007,131.820007,130.360001,131.669998,129.484558,10490700
11/27/19,132.289993,132.429993,131.649994,132.059998,129.868088,6607900
11/29/19,131.869995,132.410004,131.449997,131.759995,129.573059,5712000
12/2/19,132.309998,132.740005,131.350006,131.470001,129.287872,8615600
12/3/19,129.770004,129.960007,128.589996,129.779999,127.625931,10361300
12/4/19,130.380005,132.470001,129.990005,132.339996,130.143448,10318200
12/5/19,132.679993,133.309998,132.179993,133.059998,130.851501,9587400
12/6/19,134.690002,135.779999,134.649994,135.039993,132.79863,10170600
12/9/19,134.630005,135.460007,134.410004,134.410004,132.179077,8498200
12/10/19,133.25,134.770004,132.880005,134.5,132.267593,7532900
12/11/19,134.289993,135.020004,134.009995,134.179993,131.952896,9011900
12/12/19,134.490005,138.470001,134.210007,138.020004,135.729172,13717400
12/13/19,137.949997,138.830002,136.220001,136.809998,134.539246,10592100
12/16/19,138.380005,138.839996,137.320007,137.339996,135.06044,11372000
12/17/19,137.729996,138.669998,137.229996,138.179993,135.886505,11546800
12/18/19,138.149994,139.020004,137.720001,138.039993,135.748825,10381500
12/19/19,137.759995,138.220001,137.100006,137.350006,135.070297,9350400
12/20/19,138.020004,138.880005,136.899994,137.240005,134.962112,29992600
12/23/19,137.600006,137.910004,136.880005,137.199997,134.922775,9738400
12/24/19,137.330002,137.630005,137.059998,137.580002,135.296478,3324300
12/26/19,137.889999,139.100006,137.779999,139.039993,136.732239,6770900
12/27/19,139.300003,139.770004,138.669998,139.139999,136.830582,7868200
12/30/19,139.899994,140.080002,138.470001,138.630005,136.329041,6963000
12/31/19,138.509995,139.479996,138.289993,139.399994,137.086258,7201600
1/2/20,139.789993,141.100006,139.259995,141.089996,138.748215,10803700
1/3/20,137.5,139.229996,137.080002,138.339996,136.917236,10386800
1/6/20,136.559998,138.270004,136.5,138.229996,136.808365,10259000
1/7/20,137.279999,137.860001,135.820007,135.880005,134.482544,10531300
1/8/20,135.699997,137.580002,135.600006,136.940002,135.531631,9695300
1/9/20,138.050003,138.229996,137.039993,137.440002,136.026489,9469000
1/10/20,137.210007,137.25,135.809998,136.070007,134.670593,10190900
1/13/20,136.190002,137.199997,135.759995,137.199997,135.788956,12355200
1/14/20,137.940002,140.759995,137.690002,138.800003,137.372513,24906000
1/15/20,137.850006,138.600006,136.149994,136.720001,135.313904,16293400
1/16/20,137.449997,137.899994,136.839996,137.25,135.83844,10783800
1/17/20,137.539993,138.289993,137.320007,138.199997,136.778671,14697700
1/21/20,137.190002,138.070007,136.690002,136.839996,135.432663,8474200
1/22/20,137.240005,137.399994,136.380005,136.679993,135.274307,7549100
1/23/20,135.710007,136.740005,134.720001,136.539993,135.135742,9345700
1/24/20,136.369995,136.429993,132.320007,133.149994,131.780609,15166400
1/27/20,130.270004,132.940002,129.710007,132.029999,130.672134,12860500
1/28/20,132.839996,134.970001,132.479996,134.429993,133.04744,13062800
1/29/20,134.809998,135.539993,133.690002,134.229996,132.849503,9326000
1/30/20,132.690002,136.130005,132.690002,135.889999,134.492432,9048900
1/31/20,134.490005,134.830002,131.470001,132.360001,130.998734,12785200
2/3/20,132.660004,134.240005,132.660004,133.369995,131.998352,10021100
2/4/20,135.550003,136.600006,135.080002,135.289993,133.89859,9157100
2/5/20,136.570007,137.729996,136.009995,137.589996,136.174942,10150700
2/6/20,138.240005,138.289993,137.110001,137.610001,136.194748,8992300
2/7/20,136.729996,137.669998,136.300003,137.169998,135.759262,6379800
2/10/20,136.949997,137.850006,136.75,137.740005,136.32341,5960700
2/11/20,138.259995,138.820007,137.779999,138,136.580734,6578600
2/12/20,138.600006,139.289993,137.800003,138,136.580734,7958000
2/13/20,137.75,138.339996,136.399994,137.880005,136.461975,7447500
2/14/20,137.839996,138.190002,136.940002,137.460007,136.046295,6627600
2/18/20,137.339996,137.710007,135.050003,135.639999,134.24501,8996400
2/19/20,136.910004,138.389999,136.339996,137.490005,136.075989,7071200
2/20/20,137.169998,138.360001,136.529999,137.490005,136.075989,7422800
2/21/20,136.550003,136.919998,134.919998,135.809998,134.413254,9772800
2/24/20,131.440002,133.199997,130.800003,132.160004,130.800797,13618400
